FID,tag,wodate,datedone,size,material,install_yr,location,comments,abandoned,globalid
755,wpbrk0999,08/26/04, ,12,CI,1958,140 ft S of 913 W Cascade Ave (70 ft W), ,n,{8528F1B7-64F7-45E2-8F9D-A9A7D6BDEB01}
756,wpbrk1000,09/03/04,09/03/04,6,CI,1959,between driveways south side of street, ,n,{A51A5382-2C61-42BF-A4BA-F13276F570C0}
757,wpbrk1001, ,10/06/02,6,CI,1958,"8th & Jefferson/6""CI main/ 57 inches S of CL", ,n,{FD065B9E-AD13-4197-A658-FB72ECC62F3C}
758,wpbrk1002,1999,1999,12,CI,1959,"east of Sunrise on 10th street- 3/4in copper from 8\"" S at same location", ,n,{8B751419-A1FE-415E-9595-4D9C256D8748}
759,wpbrk1003,12/01/04,12/03/04,2,Galvanized,1968,6' east of centerline, ,n,{A1C52AAC-3159-45B0-96B1-C03ECA32D8F3}
760,wpbrk1004,12/03/04,12/03/04,2,Galvanized,1968,12' south of intersection, ,n,{4427F3B4-FD22-43E4-941F-89D9C569EFD6}
761,wpbrk1005,12/05/04,12/05/04,4,unknown,unknown,25ft E of 406 W Joy St/fullseal clamp 50ft S valve, ,n,{A0167510-E261-452D-9D15-C73D14C999B4}
762,wpbrk1007,12/23/04,12/23/04,6,unknown,unknown,4310 E Deckard Dr, ,n,{EFBE7C61-3F6F-486F-AFA6-43659BF6749F}
763,wpbrk1008,12/27/04,12/27/04,6,DI,1986,intersection of Southdowns and Covenanter, ,n,{B388F0CB-31A8-42C8-8218-E889030C4DB6}
764,wpbrk1009,12/27/04,12/27/04,6,Copper Type K,1988,11 and Vernal Pk, ,n,{D937A903-A947-4975-81D9-57EB65C162BD}
765,wpbrk1010,12/27/04,12/27/04,6,CI,1959,522 S Eastside Dr, ,n,{FF0F8BF3-A0C0-4F70-8032-1ED3082D8A27}
766,wpbrk1012,01/06/05,01/06/05,6,DI,1983,1631 S Buffstone Ct, ,n,{CAB75865-6858-4693-AC9A-D272B98AADA6}
767,wpbrk1014,12/13/04,12/13/04,10,DI,1978,north of fire hydrant 15ft, ,n,{AF72F480-899E-4D46-B8C9-E3A4B9630B42}
768,wpbrk1015,12/14/04,12/14/04,2,CI,unknown,2in cast iron service line eastside of road by val, ,n,{47FB2369-527D-44EE-8C1F-F6E013B8ED3E}
769,wpbrk1016,11/17/04,11/17/04,4,unknown,unknown,in front yard 2524 E 7th, ,n,{449AC236-FC25-420E-AC9E-B8306F988B47}
770,wpbrk1017,12/7/04,12/7/04,6,DI,1983,1ft south of Walnutleaf center of house, ,n,{761F2AE4-8268-4A80-929E-EE05A435C449}
771,wpbrk1018,1/20/05,1/20/05,4,CI,1972,end of col-de-sac at curb, ,n,{987C45EF-165D-4F7E-8E2B-E58519F8E254}
772,wpbrk1019,01/21/05,01/21/05,6,CI,1956,"642 W Skyline/7.5""full seal/circle brk/9'N cl", ,n,{37F9314A-40C3-4338-B8B4-1A61A2FB2CE6}
773,wpbrk1020,01/25/05,01/25/05,4,CI-lead joint,1910,98' North of valve on Howe St, ,n,{B5ADB4AD-F70C-4DC9-8465-48CAF6067D02}
774,wpbrk1021,02/02/05,02/02/05,6,CI,1959,on Hancock north of 15th, ,n,{B15ECFC2-01D9-4367-A39D-40CB92C3E0EA}
775,wpbrk1022,02/03/05,02/03/05,6,DI,1977,in front of 2732 E Elderberry Ct, ,n,{F53547F5-FC9D-42EA-B80C-266B031E276D}
776,wpbrk1023,02/07/05,02/04/05,6,CI,1961,3' north of road at 1101 E. Prairie Dr., ,n,{C5538D27-D1C2-49A1-A39D-6DDE258F1915}
